lga,cell_id,building_count,health_time_min_walk,education_time_min_walk,walk_access_deficit_score,health_time_min_okada,education_time_min_okada,okada_access_deficit_score,health_time_min_drive,education_time_min_drive,drive_access_deficit_score
Akure South,1433,5,434.9911522017541,349.95171740783104,2.0,87.5763452938399,70.02217529554544,2.0,62.55453235274279,50.01583949681817,2.0
Akure North,7,16,,127.92216602885345,2.0,,25.584433205770686,2.0,,18.274595146979063,2.0
Akure North,8,5,,130.64625175055886,2.0,,26.129250350111768,2.0,,18.663750250079833,2.0
Akure North,18,4,,94.21467110579668,2.0,,18.842934221159336,1.0,,13.459238729399525,1.0
Akure South,1363,58,368.80932124150615,283.769886447583,2.0,74.33997910179029,56.78580910349583,2.0,53.099985072707355,40.56129221678273,2.0
Akure South,1362,3,368.80932124150615,283.769886447583,2.0,74.33997910179029,56.78580910349583,2.0,53.099985072707355,40.56129221678273,2.0
Akure South,1361,8,368.80932124150615,283.769886447583,2.0,74.33997910179029,56.78580910349583,2.0,53.099985072707355,40.56129221678273,2.0
Akure South,1348,7,341.3405159249169,256.30108113099374,2.0,68.84621803847244,51.292048040177974,2.0,49.175870027480315,36.63717717155569,2.0
Akure South,1333,11,341.3405159249169,256.30108113099374,2.0,68.84621803847244,51.292048040177974,2.0,49.175870027480315,36.63717717155569,2.0
Akure South,1332,17,341.3405159249169,256.30108113099374,2.0,68.84621803847244,51.292048040177974,2.0,49.175870027480315,36.63717717155569,2.0
Akure South,1318,6,348.83370414945324,263.7942693555301,2.0,70.34485568337972,52.79068568508525,2.0,50.24632548812838,37.707632632203754,2.0
Akure South,1317,45,348.83370414945324,263.7942693555301,2.0,70.34485568337972,52.79068568508525,2.0,50.24632548812838,37.707632632203754,2.0
Akure South,1316,10,341.3405159249169,256.30108113099374,2.0,68.84621803847244,51.292048040177974,2.0,49.175870027480315,36.63717717155569,2.0
Akure South,1315,6,322.4434486471104,237.40401385318725,2.0,65.06680458291116,47.512634584616684,2.0,46.47628898779368,33.93759613186906,2.0
Akure South,1307,2,454.7692005768393,369.7297657829162,2.0,85.99793288317478,68.44376288488033,2.0,61.427094916553415,48.8884020606288,2.0
Akure South,1302,20,348.83370414945324,263.7942693555301,2.0,70.34485568337972,52.79068568508525,2.0,50.24632548812838,37.707632632203754,2.0
Akure South,1301,2,348.83370414945324,263.7942693555301,2.0,70.34485568337972,52.79068568508525,2.0,50.24632548812838,37.707632632203754,2.0
Akure South,1296,1,333.2756753567509,248.2362405628278,2.0,65.06680458291116,47.512634584616684,2.0,46.47628898779368,33.93759613186906,2.0
Akure South,1295,7,333.2756753567509,248.2362405628278,2.0,65.06680458291116,47.512634584616684,2.0,46.47628898779368,33.93759613186906,2.0
Akure South,1293,6,333.7439635404609,248.70452874653776,2.0,65.06680458291116,47.512634584616684,2.0,46.47628898779368,33.93759613186906,2.0
